#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
0.8547	22.683	0.118
0.8563	22.278	0.118
0.8579	22.225	0.117
0.8595	21.964	0.117
0.8611	21.594	0.116
0.8627	21.579	0.117
0.8643	21.460	0.116
0.8659	21.196	0.115
0.8675	21.374	0.117
0.8691	20.835	0.115
0.8707	20.759	0.114
0.8723	20.510	0.114
0.8739	20.536	0.113
0.8755	20.276	0.114
0.8771	20.429	0.113
0.8787	20.013	0.113
0.8803	20.230	0.113
0.8819	19.860	0.111
0.8835	19.707	0.112
0.8851	19.694	0.111
0.8867	19.278	0.111
0.8883	19.195	0.111
0.8899	18.896	0.109
0.8915	18.853	0.110
0.8931	18.787	0.108
0.8947	18.318	0.109
0.8963	18.394	0.108
0.8979	18.164	0.107
0.8995	18.096	0.108
0.9011	17.946	0.106
0.9027	17.759	0.107
0.9042	17.687	0.105
0.9058	17.423	0.105
0.9074	17.316	0.105
0.9090	17.239	0.105
0.9106	16.973	0.104
0.9122	16.892	0.103
0.9138	16.739	0.103
0.9154	16.669	0.103
0.9170	16.414	0.102
0.9186	16.365	0.102
0.9202	16.267	0.101
0.9218	16.260	0.102
0.9234	15.967	0.100
0.9250	15.912	0.100
0.9266	15.760	0.100
0.9282	15.431	0.098
0.9298	15.498	0.100
0.9314	15.259	0.098
0.9330	15.282	0.098
0.9346	15.114	0.097
0.9362	14.952	0.097
0.9378	14.776	0.097
0.9394	14.678	0.096
0.9410	14.340	0.095
0.9426	14.452	0.095
0.9442	14.248	0.095
0.9458	14.158	0.095
0.9474	14.142	0.094
0.9490	13.842	0.094
0.9506	13.833	0.093
0.9522	13.773	0.093
0.9538	13.483	0.092
0.9554	13.345	0.092
0.9570	13.171	0.092
0.9586	13.315	0.091
0.9602	13.085	0.091
0.9617	13.057	0.090
0.9633	12.696	0.089
0.9649	12.556	0.089
0.9665	12.616	0.088
0.9681	12.450	0.089
0.9697	12.164	0.087
0.9713	12.196	0.088
0.9729	12.289	0.087
0.9745	11.809	0.086
0.9761	11.620	0.086
0.9777	11.727	0.085
0.9793	11.508	0.085
0.9809	11.279	0.083
0.9825	11.181	0.084
0.9841	11.086	0.084
0.9857	11.088	0.082
0.9873	10.796	0.082
0.9889	10.785	0.081
0.9905	10.561	0.081
0.9921	10.401	0.080
0.9937	10.400	0.080
0.9953	10.216	0.080
0.9969	10.379	0.080
0.9985	9.994	0.079
1.0001	10.217	0.080
1.0017	10.207	0.079
1.0033	10.199	0.080
1.0049	10.189	0.079
1.0065	9.999	0.079
1.0081	10.128	0.079
1.0097	10.085	0.079
1.0113	9.943	0.079
1.0129	9.901	0.077
1.0145	9.827	0.078
1.0161	10.083	0.078
1.0176	9.917	0.078
1.0192	9.928	0.078
1.0208	9.889	0.078
1.0224	9.860	0.078
1.0240	9.830	0.077
1.0256	9.670	0.077
1.0272	9.801	0.077
1.0288	9.706	0.077
